Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (P)	Cumulative Profit/Loss (P)	FlatToFlat Profit/Loss (P)	FlatToFlat Max Open Profit (P)	FlatToFlat Max Open Loss (P)	Max Open Profit (P)	Max Open Loss (P)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account
[Sim]ESU3.CME	Long	2023-08-17  10:14:32.038	2023-08-17  10:15:37.312	4423.00	4425.50	1	5	3	2.45	118.52	7.34	8.25	-0.75	2.75	-0.25	100.0%	35.5%	27.2%	2.66	4425.75	4422.75	2Targets5c_3out_2run.twconfig	5	2	00:01:05	Sim1
[Sim]ESU3.CME	Long	2023-08-17  10:14:32.038	2023-08-17  10:17:30.272 EP	4423.00	4423.75	2	5	5	1.39	119.91	8.73 F	19.25	-1.25	11.00	-0.50	100.0%	12.9%	6.8%	5.32	4428.50	4422.75	2Targets5c_3out_2run.twconfig	5	0	00:02:58	Sim1
[Sim]ESU3.CME	Short	2023-08-17  10:25:24.426 BP	2023-08-17  10:30:30.481	4422.00	4424.75	2	5	2	-5.61	114.30	-5.61	1.00	-5.50	1.00	-5.50	100.0%	-1.6%	-86.3%	5.32	4424.75	4421.50	2Targets5c_3out_2run.twconfig	2	3	00:05:06	Sim1
[Sim]ESU3.CME	Short	2023-08-17  10:25:24.426	2023-08-17  10:30:30.481 EP	4422.00	4424.75	3	5	5	-8.41	105.89	-14.02 F	2.50	-13.75	1.50	-8.25	100.0%	32.9%	-51.8%	7.98	4424.75	4421.50	2Targets5c_3out_2run.twconfig	5	0	00:05:06	Sim1
[Sim]ESU3.CME	Short	2023-08-17  10:31:10.326 BP	2023-08-17  10:33:21.152	4423.25	4420.75	2	5	2	4.89	110.79	4.89	5.00	-2.50	5.00	-2.50	100.0%	98.6%	65.2%	5.32	4424.50	4420.75	2Targets5c_3out_2run.twconfig	2	3	00:02:10	Sim1
[Sim]ESU3.CME	Short	2023-08-17  10:31:10.326	2023-08-17  10:33:21.152	4423.25	4420.75	1	5	3	2.45	113.23	7.34	7.50	-3.75	2.50	-1.25	100.0%	55.1%	21.7%	2.66	4424.50	4420.75	2Targets5c_3out_2run.twconfig	5	2	00:02:10	Sim1
[Sim]ESU3.CME	Short	2023-08-17  10:31:10.326	2023-08-17  10:50:02.196 EP	4423.25	4423.00	2	5	5	0.39	113.63	7.73 F	23.50	-6.25	16.00	-2.50	100.0%	22.3%	1.3%	5.32	4424.50	4415.25	2Targets5c_3out_2run.twconfig	5	0	00:18:51	Sim1
[Sim]ESU3.CME	Short	2023-08-17  10:56:55.533 BP	2023-08-17  10:59:03.117	4424.50	4422.25	2	5	2	4.39	118.02	4.39	4.50	-1.50	4.50	-1.50	100.0%	98.2%	73.2%	5.32	4425.25	4422.25	2Targets5c_3out_2run.twconfig	2	3	00:02:07	Sim1
[Sim]ESU3.CME	Short	2023-08-17  10:56:55.533	2023-08-17  10:59:03.117	4424.50	4422.25	1	5	3	2.20	120.22	6.59	6.75	-2.25	2.25	-0.75	100.0%	49.4%	24.4%	2.66	4425.25	4422.25	2Targets5c_3out_2run.twconfig	5	2	00:02:07	Sim1
[Sim]ESU3.CME	Short	2023-08-17  10:56:55.533	2023-08-17  11:04:31.938 EP	4424.50	4419.25	2	5	5	10.39	130.61	16.98 F	19.75	-3.75	13.00	-1.50	100.0%	60.2%	44.2%	5.32	4425.25	4418.00	2Targets5c_3out_2run.twconfig	5	0	00:07:36	Sim1
